Algorithm,InputType,Size,Run,ExecutionTimeNs,MaxRecursionDepth,Comparisons
MergeSort,Random,100,1,15900,4,605
MergeSort,Random,100,2,17300,4,605
MergeSort,Random,100,3,17300,4,605
MergeSort,Random,100,4,19100,4,605
MergeSort,Random,100,5,18700,4,605
MergeSort,Random,100,6,18400,4,605
MergeSort,Random,100,7,19100,4,605
QuickSort,Random,100,1,143800,4,962
QuickSort,Random,100,2,50700,4,962
QuickSort,Random,100,3,48800,4,962
QuickSort,Random,100,4,56300,4,962
QuickSort,Random,100,5,78700,4,962
QuickSort,Random,100,6,41200,4,962
QuickSort,Random,100,7,31100,4,962
DeterministicSelect,Random,100,1,42400,5,694
DeterministicSelect,Random,100,2,36000,5,694
DeterministicSelect,Random,100,3,62300,5,694
DeterministicSelect,Random,100,4,26200,5,694
DeterministicSelect,Random,100,5,19500,5,694
DeterministicSelect,Random,100,6,19700,5,694
DeterministicSelect,Random,100,7,42500,5,694
MergeSort,Sorted,100,1,13100,4,244
MergeSort,Sorted,100,2,16200,4,244
MergeSort,Sorted,100,3,15900,4,244
MergeSort,Sorted,100,4,12800,4,244
MergeSort,Sorted,100,5,16300,4,244
MergeSort,Sorted,100,6,21400,4,244
MergeSort,Sorted,100,7,14600,4,244
QuickSort,Sorted,100,1,10000,4,1069
QuickSort,Sorted,100,2,12300,4,1069
QuickSort,Sorted,100,3,57000,4,1069
QuickSort,Sorted,100,4,17600,4,1069
QuickSort,Sorted,100,5,11800,4,1069
QuickSort,Sorted,100,6,9700,4,1069
QuickSort,Sorted,100,7,11100,4,1069
DeterministicSelect,Sorted,100,1,5700,6,641
DeterministicSelect,Sorted,100,2,5200,6,641
DeterministicSelect,Sorted,100,3,6200,6,641
DeterministicSelect,Sorted,100,4,5800,6,641
DeterministicSelect,Sorted,100,5,6000,6,641
DeterministicSelect,Sorted,100,6,5400,6,641
DeterministicSelect,Sorted,100,7,6300,6,641
MergeSort,ReverseSorted,100,1,30000,4,724
MergeSort,ReverseSorted,100,2,36400,4,724
MergeSort,ReverseSorted,100,3,30200,4,724
MergeSort,ReverseSorted,100,4,25000,4,724
MergeSort,ReverseSorted,100,5,32700,4,724
MergeSort,ReverseSorted,100,6,25300,4,724
MergeSort,ReverseSorted,100,7,16600,4,724
QuickSort,ReverseSorted,100,1,8700,4,1011
QuickSort,ReverseSorted,100,2,8400,4,1011
QuickSort,ReverseSorted,100,3,9000,4,1011
QuickSort,ReverseSorted,100,4,8600,4,1011
QuickSort,ReverseSorted,100,5,6300,4,1011
QuickSort,ReverseSorted,100,6,9300,4,1011
QuickSort,ReverseSorted,100,7,5800,4,1011
DeterministicSelect,ReverseSorted,100,1,5100,6,810
DeterministicSelect,ReverseSorted,100,2,5800,6,810
DeterministicSelect,ReverseSorted,100,3,5800,6,810
DeterministicSelect,ReverseSorted,100,4,5800,6,810
DeterministicSelect,ReverseSorted,100,5,7400,6,810
DeterministicSelect,ReverseSorted,100,6,5000,6,810
DeterministicSelect,ReverseSorted,100,7,7300,6,810
MergeSort,Duplicates,100,1,4600,4,608
MergeSort,Duplicates,100,2,24100,4,608
MergeSort,Duplicates,100,3,6100,4,608
MergeSort,Duplicates,100,4,5700,4,608
MergeSort,Duplicates,100,5,5300,4,608
MergeSort,Duplicates,100,6,7700,4,608
MergeSort,Duplicates,100,7,4900,4,608
QuickSort,Duplicates,100,1,3500,2,530
QuickSort,Duplicates,100,2,3900,2,530
QuickSort,Duplicates,100,3,3700,2,530
QuickSort,Duplicates,100,4,3100,2,530
QuickSort,Duplicates,100,5,3300,2,530
QuickSort,Duplicates,100,6,3700,2,530
QuickSort,Duplicates,100,7,3200,2,530
DeterministicSelect,Duplicates,100,1,3200,3,383
DeterministicSelect,Duplicates,100,2,3800,3,383
DeterministicSelect,Duplicates,100,3,3200,3,383
DeterministicSelect,Duplicates,100,4,13200,3,383
DeterministicSelect,Duplicates,100,5,3400,3,383
DeterministicSelect,Duplicates,100,6,3100,3,383
DeterministicSelect,Duplicates,100,7,2900,3,383
ClosestPair,RandomPoints,100,1,122100,7,128
ClosestPair,RandomPoints,100,2,117900,7,128
ClosestPair,RandomPoints,100,3,116600,7,128
ClosestPair,RandomPoints,100,4,78200,7,128
ClosestPair,RandomPoints,100,5,64800,7,128
ClosestPair,RandomPoints,100,6,71500,7,128
ClosestPair,RandomPoints,100,7,64700,7,128
MergeSort,Random,1000,1,62900,7,10392
MergeSort,Random,1000,2,60900,7,10392
MergeSort,Random,1000,3,58700,7,10392
MergeSort,Random,1000,4,145800,7,10392
MergeSort,Random,1000,5,188400,7,10392
MergeSort,Random,1000,6,73500,7,10392
MergeSort,Random,1000,7,182500,7,10392
QuickSort,Random,1000,1,90400,6,19519
QuickSort,Random,1000,2,93800,6,19519
QuickSort,Random,1000,3,84500,6,19519
QuickSort,Random,1000,4,95100,6,19519
QuickSort,Random,1000,5,92600,6,19519
QuickSort,Random,1000,6,81700,6,19519
QuickSort,Random,1000,7,81500,6,19519
DeterministicSelect,Random,1000,1,45300,8,7968
DeterministicSelect,Random,1000,2,50600,8,7968
DeterministicSelect,Random,1000,3,53200,8,7968
DeterministicSelect,Random,1000,4,48500,8,7968
DeterministicSelect,Random,1000,5,62700,8,7968
