Algorithm,InputType,Size,ExecutionTimeNs,MaxRecursionDepth,Comparisons
MergeSort,Random,100,18400,4,605
QuickSort,Random,100,50700,4,962
DeterministicSelect,Random,100,36000,5,694
MergeSort,Sorted,100,15900,4,244
QuickSort,Sorted,100,11800,4,1069
DeterministicSelect,Sorted,100,5800,6,641
MergeSort,ReverseSorted,100,30000,4,724
QuickSort,ReverseSorted,100,8600,4,1011
DeterministicSelect,ReverseSorted,100,5800,6,810
MergeSort,Duplicates,100,5700,4,608
QuickSort,Duplicates,100,3500,2,530
DeterministicSelect,Duplicates,100,3200,3,383
ClosestPair,RandomPoints,100,78200,7,128
MergeSort,Random,1000,73500,7,10392
QuickSort,Random,1000,90400,6,19519
DeterministicSelect,Random,1000,52500,8,7968
MergeSort,Sorted,1000,38300,7,3956
QuickSort,Sorted,1000,125700,6,20291
DeterministicSelect,Sorted,1000,26900,9,7792
MergeSort,ReverseSorted,1000,45700,7,10300
QuickSort,ReverseSorted,1000,70400,6,18564
DeterministicSelect,ReverseSorted,1000,29000,8,8843
MergeSort,Duplicates,1000,52100,7,9822
QuickSort,Duplicates,1000,16400,2,5133
DeterministicSelect,Duplicates,1000,15600,5,3696
ClosestPair,RandomPoints,1000,1161900,10,1157
MergeSort,Random,5000,1387100,10,58351
QuickSort,Random,5000,356300,8,109740
DeterministicSelect,Random,5000,139400,12,47286
MergeSort,Sorted,5000,46000,10,27124
QuickSort,Sorted,5000,184500,8,112533
DeterministicSelect,Sorted,5000,59700,11,41770
MergeSort,ReverseSorted,5000,79900,10,44324
QuickSort,ReverseSorted,5000,161800,8,104765
DeterministicSelect,ReverseSorted,5000,66600,10,46336
MergeSort,Duplicates,5000,248000,10,56038
QuickSort,Duplicates,5000,100100,2,27802
DeterministicSelect,Duplicates,5000,61800,6,19199
ClosestPair,RandomPoints,5000,2865600,12,6456
MergeSort,Random,10000,676700,11,126864
QuickSort,Random,10000,820400,10,241188
DeterministicSelect,Random,10000,427600,12,98565
MergeSort,Sorted,10000,186700,11,59248
QuickSort,Sorted,10000,622200,9,248893
DeterministicSelect,Sorted,10000,213600,12,84304
MergeSort,ReverseSorted,10000,157600,11,93648
QuickSort,ReverseSorted,10000,379400,8,237995
DeterministicSelect,ReverseSorted,10000,140400,12,93661
MergeSort,Duplicates,10000,312500,11,121266
QuickSort,Duplicates,10000,108500,2,53230
DeterministicSelect,Duplicates,10000,174900,7,38105
ClosestPair,RandomPoints,10000,8609200,13,12971
MergeSort,Random,50000,3341300,13,769484
QuickSort,Random,50000,4044400,10,1550948
DeterministicSelect,Random,50000,1509100,14,496356
MergeSort,Sorted,50000,948800,13,347008
QuickSort,Sorted,50000,2004500,10,1435101
DeterministicSelect,Sorted,50000,671600,15,435641
MergeSort,ReverseSorted,50000,971900,13,579408
QuickSort,ReverseSorted,50000,2249800,10,1415597
DeterministicSelect,ReverseSorted,50000,734700,14,478423
MergeSort,Duplicates,50000,2299400,13,734131
QuickSort,Duplicates,50000,1170100,2,374442
DeterministicSelect,Duplicates,50000,1346100,8,196024
ClosestPair,RandomPoints,50000,21036300,16,71048
